epoch,accuracy,loss,val_accuracy,val_loss
0,0.35732078552246094,1.3314412832260132,0.40345820784568787,1.3034298419952393
1,0.6313313245773315,1.0090606212615967,0.6541786789894104,0.9336114525794983
2,0.7896484732627869,0.5947728753089905,0.7031700015068054,0.8344522714614868
3,0.8461112380027771,0.42083480954170227,0.680115282535553,0.8237082362174988
4,0.8793246746063232,0.33345863223075867,0.6628242135047913,0.8706697821617126
5,0.9078328013420105,0.2698920965194702,0.6829971075057983,0.9203985333442688
6,0.9230556488037109,0.2241402566432953,0.6570605039596558,0.9621272683143616
7,0.9418765306472778,0.1904989629983902,0.6599423885345459,1.0146300792694092
8,0.949903130531311,0.15927912294864655,0.651296854019165,1.08538019657135
9,0.9626349210739136,0.13516713678836823,0.651296854019165,1.138142466545105
10,0.9629117250442505,0.1249455139040947,0.6541786789894104,1.1832010746002197
11,0.9654027223587036,0.11161435395479202,0.6541786789894104,1.2618474960327148
12,0.9690008163452148,0.10071807354688644,0.651296854019165,1.287588357925415
13,0.9725989699363708,0.09611783921718597,0.639769434928894,1.4053758382797241
14,0.9712150692939758,0.09100419282913208,0.6484149694442749,1.4139033555984497
15,0.9731525182723999,0.08384284377098083,0.6628242135047913,1.417384147644043
16,0.9725989699363708,0.08614182472229004,0.639769434928894,1.446373462677002
17,0.9761970639228821,0.07471795380115509,0.639769434928894,1.4829189777374268
18,0.975643515586853,0.0746973380446434,0.651296854019165,1.4876633882522583
19,0.9759202599525452,0.07283102720975876,0.651296854019165,1.5119717121124268
20,0.975089967250824,0.0700933188199997,0.6484149694442749,1.5486841201782227
21,0.976473867893219,0.06904097646474838,0.6570605039596558,1.5961644649505615
22,0.9786880612373352,0.06264211237430573,0.6628242135047913,1.5788718461990356
23,0.9792416095733643,0.060402803122997284,0.6541786789894104,1.6976661682128906
24,0.976473867893219,0.06302058696746826,0.639769434928894,1.6233810186386108
